observation_id,obs_match,partner_id,par_match,From Dataset,no_partner_ids,id,p_id
332209997,Yes,332209996,Yes,Yes,,332209997_332209996,332209996_332209997
332241462,Yes,332388266,No,Yes,,332241462_332388266,332388266_332241462
332250752,Yes,332250754,Yes,Yes,,332250752_332250754,332250754_332250752
332250754,Yes,332250752,Yes,Yes,,332250754_332250752,332250752_332250754
332298168,No,332298105,No,Yes,,332298168_332298105,332298105_332298168
332353703,Yes,332353793,No,Yes,,332353703_332353793,332353793_332353703
332363386,Yes,332363387,Yes,Yes,,332363386_332363387,332363387_332363386
332363387,Yes,332363386,Yes,Yes,,332363387_332363386,332363386_332363387
332443449,Yes,332443461,Yes,Yes,,332443449_332443461,332443461_332443449
332443461,Yes,332443449,Yes,Yes,,332443461_332443449,332443449_332443461
332473885,No,332473886,Yes,Yes,,332473885_332473886,332473886_332473885
332473886,Yes,332473885,No,Yes,,332473886_332473885,332473885_332473886
332479890,Yes,332480337,No,Yes,,332479890_332480337,332480337_332479890
332510914,No,332608421,Yes,Yes,,332510914_332608421,332608421_332510914
332574413,Yes,333823288,Yes,Yes,,332574413_333823288,333823288_332574413
332605718,Yes,332606027,No,Yes,,332605718_332606027,332606027_332605718
332608421,Yes,332510914,No,Yes,,332608421_332510914,332510914_332608421
332692731,Yes,332692732,Yes,Yes,,332692731_332692732,332692732_332692731
332692732,Yes,332692731,Yes,Yes,,332692732_332692731,332692731_332692732
332694510,Yes,332694256,No,Yes,,332694510_332694256,332694256_332694510
332696284,No,337887939,Yes,Yes,,332696284_337887939,337887939_332696284
332745533,Yes,335972890,No,Yes,,332745533_335972890,335972890_332745533
332921819,Yes,332921821,No,Yes,,332921819_332921821,332921821_332921819
332925307,Yes,333445270,No,Yes,,332925307_333445270,333445270_332925307
332941090,Yes,332941091,Yes,Yes,,332941090_332941091,332941091_332941090
332941091,Yes,332941090,Yes,Yes,,332941091_332941090,332941090_332941091
332946108,No,332946107,No,Yes,,332946108_332946107,332946107_332946108
333025396,Yes,313996192,Yes,Yes,,333025396_313996192,313996192_333025396
333076064,Yes,333076061,No,Yes,,333076064_333076061,333076061_333076064
333108795,Yes,333108793,No,Yes,,333108795_333108793,333108793_333108795
333121592,Yes,335169422,No,Yes,,333121592_335169422,335169422_333121592
333144263,Yes,279270198,Yes,Yes,,333144263_279270198,279270198_333144263
333293787,Yes,333659655,No,Yes,,333293787_333659655,333659655_333293787
333362784,Yes,333659654,No,Yes,,333362784_333659654,333659654_333362784
333491091,Yes,333491092,No,Yes,,333491091_333491092,333491092_333491091
333516780,Yes,333517135,Yes,Yes,,333516780_333517135,333517135_333516780
333517135,Yes,333516780,Yes,Yes,,333517135_333516780,333516780_333517135
333534613,Yes,340223926,No,Yes,,333534613_340223926,340223926_333534613
333581952,Yes,333581951,No,Yes,,333581952_333581951,333581951_333581952
333655915,Yes,333655918,No,Yes,,333655915_333655918,333655918_333655915
333664673,Yes,333664678,Yes,Yes,,333664673_333664678,333664678_333664673
333664678,Yes,333664673,Yes,Yes,,333664678_333664673,333664673_333664678
333664707,Yes,333664708,No,Yes,,333664707_333664708,333664708_333664707
333667788,No,333900157,No,Yes,,333667788_333900157,333900157_333667788
333691385,Yes,333691574,Yes,Yes,,333691385_333691574,333691574_333691385
333691574,Yes,333691385,Yes,Yes,,333691574_333691385,333691385_333691574
333709102,Yes,333709103,No,Yes,,333709102_333709103,333709103_333709102
333709103,No,333709102,Yes,Yes,,333709103_333709102,333709102_333709103
333709106,Yes,333709105,No,Yes,,333709106_333709105,333709105_333709106
