id,url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,"field:url for ""partner"" observation",partner_ids
8836272,https://www.inaturalist.org/observations/8836272,Spotted Hyena,Crocuta crocuta,Spotted Hyena,Mammalia,41886.0,https://www.inaturalist.org/observations/8836294; https://www.inaturalist.org/observations/8836285,"['8836294', '8836285']"
8836285,https://www.inaturalist.org/observations/8836285,Marabou,Leptoptilos crumenifer,Marabou Stork,Aves,201031.0,https://www.inaturalist.org/observations/8836272,['8836272']
8836294,https://www.inaturalist.org/observations/8836294,White-backed Vulture,Gyps africanus,White-backed Vulture,Aves,5363.0,https://www.inaturalist.org/observations/8836272,['8836272']
8837836,https://www.inaturalist.org/observations/8837836,African Leopard,Panthera pardus pardus,African Leopard,Mammalia,319574.0,https://www.inaturalist.org/observations/8837880,['8837880']
8837880,https://www.inaturalist.org/observations/8837880,Southern Bushbuck,Tragelaphus sylvaticus sylvaticus,Cape Bushbuck,Mammalia,1431869.0,https://www.inaturalist.org/observations/8837836,['8837836']
8839634,https://www.inaturalist.org/observations/8839634,African Pied Starling,Lamprotornis bicolor,African Pied Starling,Aves,517007.0,https://www.inaturalist.org/observations/58530763,['58530763']
8873609,https://www.inaturalist.org/observations/8873609,Paris Peacock Swallowtail,Papilio paris,Paris Peacock Swallowtail,Insecta,146651.0,https://www.inaturalist.org/observations/8873618,['8873618']
8873618,https://www.inaturalist.org/observations/8873618,Asian Smooth Gecko,Hemidactylus bowringii,Oriental House Gecko,Reptilia,68344.0,https://www.inaturalist.org/observations/8873609,['8873609']
8909987,https://www.inaturalist.org/observations/8909987,Tecaspis,Tecaspis,,Insecta,1612101.0,https://www.inaturalist.org/observations/8909988,['8909988']
8909988,https://www.inaturalist.org/observations/8909988,Twice-stabbed Lady Beetles,Chilocorus,Twice-stabbed Lady Beetles,Insecta,68761.0,https://www.inaturalist.org/observations/8909987,['8909987']
8953281,https://www.inaturalist.org/observations/8953281,Macrotermes,Macrotermes,,Insecta,346639.0,https://www.inaturalist.org/observations/66373220,['66373220']
9029586,https://www.inaturalist.org/observations/9029586,Cyphostemma princeae,Cyphostemma princeae,,Plantae,415413.0,https://www.inaturalist.org/observations/9029726,['9029726']
9029726,https://www.inaturalist.org/observations/9029726,Heteraspis albidovittata,Heteraspis albidovittata,,Insecta,1506514.0,https://www.inaturalist.org/observations/9029586,['9029586']
9122049,https://www.inaturalist.org/observations/9122049,Ardea herodias,Ardea herodias,Great Blue Heron,Aves,4956.0,https://www.inaturalist.org/observations/189589216,['189589216']
9319352,https://www.inaturalist.org/observations/9319352,Common Social Nestspider,Stegodyphus dumicola,African Social Spider,Arachnida,415113.0,https://www.inaturalist.org/observations/9319390,['9319390']
9319390,https://www.inaturalist.org/observations/9319390,Meranoplus inermis,Meranoplus inermis,,Insecta,623389.0,https://www.inaturalist.org/observations/9319352,['9319352']
9348478,https://www.inaturalist.org/observations/9348478,Grey Heron,Ardea cinerea,Gray Heron,Aves,4954.0,https://www.inaturalist.org/observations/9348479,['9348479']
